Id,CA150_4h,CUGBP_4h,ESRP1_4h,FBP11_4h,MAGOH_4h,NOVA1_4h,PRP8_4h,PSF_4h,PTB_4h,RAVER1_4h,RBM17_4h,RBM22_4h,RBM3_4h,RBM45_4h,SAM68TV1_4h,SC35_4h,sf3btv1_4h,SF3BTV2_4h,SKIP_4h,SND1_4h,SRM160_4h,SRSF1_4h,SRSF10_4h,SRSF3_4h,SRSF4_4h,SRSF5_4h,SRSF6_4h,SRSF9_4h,TIA1_4h,TRA2A_4h,TRA2B_4h,U11_4h,U12_4h,U2_4h,U2AF1_4h,U2AF2_4h,U4_4h,U4ATAC_4h,U5_4h,U6_4h,U6ATAC_4h,Diabetes
449,32428677.13,5453463.23,94020.02,47687682.44,1951136.53,369028.65,67034911.31,702.81,27921955.98,7544060.52,21295098.68,32437098.88,43092187.34,7791239.92,1918544.7,1786967.99,226270.62,40745839.69,149577.65,40741513.64,29295655.43,14135.47,28392911.16,165415043.5,13825870.13,167511169.8,4499005.84,101053632.8,24726455.9,58418561.31,49328222.27,410594084.9,14611.26,293228683.3,9876895.79,13545473.64,3961006665,1345220.24,26413179.62,50594664.89,797372.13,N
525,74447365.14,8567665.2,126931.59,140731831.8,3356335.41,629315.64,84472224.57,413019.06,49836578.31,7664776.57,21068904.01,27299489.07,69721540.56,7089748.21,5496162.76,18230038.59,1422835.94,115223740.3,1079623.95,85698698.31,29089865.77,32592.18,65830264.87,465305050.5,24950635.73,198066453.9,3093145.15,144767419.6,54744917.24,79730303.94,87017116.28,297007973.4,67245.71,69390600.31,9349007.15,8656404.33,2571334939,1222194.89,3595673.78,10429827.32,210179.32,N
602,88257368.11,8579425.67,361981.41,150696325.3,2816255.3,5658850.97,105024794.4,21102.25,48211537.03,11623377.61,52587417.12,70201922.69,130230724.1,20578341.59,5357311.64,17260430.03,467865.39,104275408.8,370405.76,99751605.63,25475696.91,54990.26,116750313.5,975352490.9,50269426.21,431319068.1,12562309.12,263325525.3,58510961.64,60207174.68,94409692.04,435765829.1,219561.7,350825033,9315908.35,8484409.99,8533479143,6450050.33,17683794.93,51060596.23,1302063.48,N
757,24532180.56,6881137.88,97710.2,37103247.71,4023140.28,304826.03,59542694.48,96951.49,20052259.76,11432080.79,20069468.51,19707024.12,43122345.35,6265209.02,1384022.68,1550696.97,3148543.62,30970667.07,110492.76,32631760.87,29029599.19,11264.93,30112912.46,92134932.2,16469032.24,120760749.8,6622544.75,62900699.66,22659424.07,38124335.52,41629733,62566151.35,24927.46,276254278,14511398.42,17534136.62,1582190442,524689.63,25195985.57,68558314.38,1531415.67,N
766,16745045.17,3615267.17,85472.94,44038052.87,2264755.21,1292790.95,48300444.41,140142.1,15053258.31,5671775.28,17590979.02,17042914.56,31808431.82,5845839.38,902129.88,1357819.2,4586920.5,35706916.66,324209.45,26475141.88,27117936.66,11124.36,21952395.82,70455863.96,10947737.2,83126620.55,5046997.81,61999626.9,18736024.42,27924543.38,30101616.39,47478612.2,19355.68,191906127.5,10182079.96,12689920.38,1410557762,1385277.8,18947845.16,37882224.02,1362390.44,N
778,17545417.44,3901723.53,152831.82,30721849.91,2267193.77,342065.21,48304559.08,91417.53,14133071.47,6152252.66,18130292.06,16649733.03,29844130.05,6027746.4,553472.8,1162928.05,4187687.47,35594487.94,216239.59,21962122.42,22046274.45,17673.64,25288768.68,62823137.46,11055350.15,109220659.6,4382815.73,64008407,14127515.88,30150838.43,23282638.59,99586213.19,44633.58,358667360.9,9065044.86,11704332.1,2401942548,687924.61,20481643.04,43555542.44,1528138.46,N
784,19582654.37,3789404.12,97855.39,44958451.62,3165334.26,660794.11,53000120.26,301652.96,15695446.75,6526994.16,16413015.12,19784833.74,42231681.88,8015257.61,1131370.8,1907037.94,7760447.99,38059200.12,764654.32,27266213.42,28754799.81,20477.55,27467417.88,82045547.8,12897862.2,106006840.7,5082668.33,61836302.69,17035436.83,28485953.13,33047094.86,51833584.01,20342.76,326239072.8,9871588.46,11603326.29,1295132589,1209151.5,19195309.23,44623066.62,1388825.87,N
819,63849829.84,17215456.32,716847.13,42994049.78,2516717.93,6493068.89,88191977.76,31756.94,35580660.91,12494758.52,73798276.59,32799830.93,98985573.32,3196187.6,1886390.63,3365029.55,6553114.2,90657025.47,,76959620.63,40753267.64,120361.81,59522586.3,214945231.6,18921315.94,416339362.4,2789423.01,131070217,22623150.69,32830884.02,30609335.63,171133032.3,243969.08,146118796.7,25394300.64,32664827.81,6829910645,2968727.59,9503747.09,153518835.5,4210026.62,N
843,16074383.12,3615097.44,103255.57,41234348.51,3040212.48,62155.42,40854287.12,326364.09,15319008.45,5402524.6,15202556.66,16100447.79,25398979.88,4777158.56,956015,1545925.06,6236379.48,34550936.65,504480.84,30799575.27,20401443.6,16334.58,27864566.05,67604182.43,11261192.46,86970565.47,5022445.67,66160378.18,15156348.94,26220205.05,28298151.43,49750522.55,26046.87,211477185.9,10657304.12,11599612.09,816062015.6,1201284.72,17609793.05,41345536.05,1681877.28,N
862,37436898.57,5832341.22,161328.09,48586123.83,4177779.97,140785.06,69987984.2,1302993.8,21445303.03,9671685.23,20556831.99,19380332.54,36483113.43,6830543.69,1330798.04,3607734.12,11037089.2,61033171.65,2009423.22,34095574.37,30966107.77,55004.56,39343467.47,79476438.6,14920081.08,111041327.8,7272129.84,71849446.21,13112488.48,50458036.94,29989244.97,67159468.6,84033.96,1295830789,10113610.18,12745032.01,2226699641,2880443.34,36360344.62,118340386.7,3819634.45,N
913,40217739.83,8522252.2,180765.91,48924836.9,3593818.12,868626.41,63563060.56,149587.66,25020105.91,11521252.79,24402095.02,30648337.79,36779088.73,8653757.22,1172946.98,2125247.42,4722606.55,35336195.56,221575.04,59143694.27,31352188,36287.93,39173640.96,142065399.7,18805012.12,152585410.6,7280725.24,126562224,27069175.13,49331053.1,48041857.11,172313553.9,28653.18,346426337.8,19722417.65,21609024.73,3024342197,1460367.36,47722962.49,56361313.61,1731602.65,N
