Isoform	hg19.kgXref.kgID	Gen
uc010sxm.1	uc010sxm.1	ACACB|32
uc001tso.3	uc001tso.3	ACAD10|80724
uc001tsp.2	uc001tsp.2	ACAD10|80724
uc001tsq.2	uc001tsq.2	ACAD10|80724
uc001tsr.2	uc001tsr.2	ACAD10|80724
uc001tss.1	uc001tss.1	ACAD10|80724
uc009zvw.2	uc009zvw.2	ACAD10|80724
uc009zvx.2	uc009zvx.2	ACAD10|80724
uc003eov.3	uc003eov.3	ACAD11|84129
uc003eoy.2	uc003eoy.2	ACAD11|84129
uc011blr.1	uc011blr.1	ACAD11|84129
uc001qhk.2	uc001qhk.2	ACAD8|27034
uc001qhl.2	uc001qhl.2	ACAD8|27034
uc009zdc.2	uc009zdc.2	ACAD8|27034
uc009zde.1	uc009zde.1	ACAD8|27034
uc010sco.1	uc010sco.1	ACAD8|27034
uc010scp.1	uc010scp.1	ACAD8|27034
uc010scq.1	uc010scq.1	ACAD8|27034
uc010scr.1	uc010scr.1	ACAD8|27034
uc003ela.3	uc003ela.3	ACAD9|28976
uc003elb.2	uc003elb.2	ACAD9|28976
uc003elc.1	uc003elc.1	ACAD9|28976
uc003eld.1	uc003eld.1	ACAD9|28976
uc003ele.2	uc003ele.2	ACAD9|28976
uc010hsw.1	uc010hsw.1	ACAD9|28976
uc011bks.1	uc011bks.1	ACAD9|28976
uc002vdz.3	uc002vdz.3	ACADL|33
uc010zjg.1	uc010zjg.1	ACADL|33
uc001dgw.3	uc001dgw.3	ACADM|34
uc001dgx.3	uc001dgx.3	ACADM|34
uc009wbp.2	uc009wbp.2	ACADM|34
uc009wbr.2	uc009wbr.2	ACADM|34
uc009wbs.1	uc009wbs.1	ACADM|34
